case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction,review_reason
tensor(152),5.068423720197321e-12,5.068423720197321e-12,8.067769261734023e-12,0.918504527526339,1.3633265166821632e-11,0.40822912464374156,77.45957538600743,0.9053086042404175,False,low_dice;
tensor(129),0.05612710781605815,0.028873856952092734,0.033907031486952725,0.9733120129724186,0.16283998590028825,0.7917769932274803,28.913504314345737,0.8360340595245361,False,low_dice;
tensor(1338),0.06255573085216712,0.0322877575654444,0.03873927449631519,0.9740480420174844,0.1623931624229917,0.7614476255138777,48.60922891486226,0.7802571058273315,False,low_dice;
tensor(652),0.10222452147850776,0.0538654454361153,0.05448930069430301,0.9988750080356581,0.8247078464399487,0.9339289653547989,42.42224396193164,0.7264041304588318,False,low_dice;
tensor(806),0.18252568858039442,0.10042820822226396,0.830658550092382,0.8693845496208789,0.10252732241050186,7.101826230929617,38.41523400448944,0.8854885697364807,False,low_dice;
tensor(157),0.19450033534878225,0.10772659732955178,0.1337869788412791,0.9506812918092727,0.3561013046913875,0.6243007900315766,32.50583816864327,0.9107685685157776,False,low_dice;
tensor(109),0.22470454074428597,0.1265730386314153,0.12660261090760608,0.9998826273859653,0.9981579553304591,0.8731637510561223,58.282893508658304,0.9505621790885925,False,low_dice;
tensor(1101),0.2345579977600308,0.13286077790682604,0.3486763653863898,0.9306464915943562,0.17671944881933133,0.9730503219419736,18.339505622461342,0.8927580118179321,False,low_dice;
tensor(70),0.23890979587399103,0.13566016965895336,0.1499212823846074,0.9605383334229295,0.587822671161787,0.7449549162704131,27.449399783466717,0.8313878774642944,False,low_dice;
tensor(38),0.2474857892468409,0.14121756487454482,0.17120387175335022,0.9591242575987433,0.44637223975636636,0.6164549304257927,26.095310867128138,0.8960348963737488,False,low_dice;
tensor(463),0.30819140308542076,0.1821668264670292,0.22115524516789498,0.9668148081305222,0.5081912403960516,0.5648188563904785,20.388412946426953,0.7961257696151733,False,low_dice;
tensor(476),0.3088596772543672,0.18263397372114973,0.4479231246296366,0.9527497126263408,0.2356874898183708,0.9004959702138718,17.516857344172607,0.8993702530860901,False,low_dice;
tensor(621),0.31465265617879007,0.18669899552522692,0.43928280363168026,0.9835924604390661,0.24511141431354655,0.7921760390552424,28.90564687961758,0.8191387057304382,False,low_dice;
tensor(99),0.32152761271032104,0.19155966767562416,0.6416317495482518,0.6688727702201993,0.21451037399441122,1.991145545086638,49.594696368568314,0.9398416876792908,False,low_dice;
tensor(265),0.3257219013831566,0.1945446826661585,0.24760232339257596,0.9787466972641465,0.4758566978329217,0.47967040388383536,35.86190969447131,0.7964329719543457,False,low_dice;
tensor(128),0.3284850774493366,0.19651938072552536,0.21839874411793783,0.9794969644406135,0.6623500285724176,0.6702668759769528,27.492265608218517,0.8225282430648804,False,low_dice;
tensor(869),0.3414956982566846,0.2059058260809333,0.30317273803723005,0.9960413199539178,0.39090909100137744,0.22444183311111143,9.348146650850568,0.7639046311378479,False,low_dice;
tensor(23),0.35636980972145305,0.2168187295609536,0.49920729291023375,0.8576071413096832,0.2770872291316847,0.8016250495362501,39.18251558438995,0.9380890727043152,False,low_dice;
tensor(685),0.35935563817738797,0.21903323264525176,0.826547231284483,0.966334558968918,0.22958606651821792,2.6001628662377714,21.85283504221556,0.8302254676818848,False,low_dice;
tensor(1406),0.36463016839139,0.22296495957711085,0.9199288256263377,0.9298366482946623,0.2273776800524752,3.0458185052025883,25.6907412607653,0.8878903985023499,False,low_dice;
tensor(28),0.36561239919554683,0.22369993446966693,0.472942135293619,0.8483190946412423,0.2979870596729075,0.587123064379893,28.608789960330274,0.9020084738731384,False,low_dice;
tensor(81),0.36846499008771005,0.22583946274549443,0.22583946274549443,1.0,1.0,0.7741605372545055,51.53272560438868,0.937449038028717,False,low_dice;
