threshold,dice,iou
0.2,0.6989222636024206,0.5842322824497506
0.25,0.7023428020728713,0.5885603303982108
0.3,0.7046309621007872,0.5915913942115193
0.35,0.706247843979104,0.5937911585912545
0.4,0.7074213702480374,0.5955100931290074
0.45,0.7082674938940218,0.5967680015220044
0.5,0.7087072294946043,0.5975601235597231
0.55,0.7087669097026075,0.5979215864362062
0.6,0.7082415962982935,0.5976049221527686
0.65,0.7070703074485685,0.5965354688162289
0.7,0.7050926259697274,0.5945821241206984
0.75,0.7022160368602886,0.5917745284839899
0.8,0.6980854995076473,0.587413467546874
