epoch,train_loss,train_dice,val_loss,val_dice,device
1,1.2957269894937598,0.04760149145808391,1.2133006160909479,0.10581879745218307,mps
2,1.1094164676703369,0.3581431630400724,0.9849356640468944,0.4420731878046289,mps
3,0.9791889631330735,0.45605676764281755,1.0116874142126604,0.4807425254735663,mps
4,0.8826987599584379,0.5170299004013633,0.8286856272003867,0.5489910366337474,mps
5,0.8319466793583525,0.5475176557518247,0.7902332370931452,0.5711943136633149,mps
6,0.7735650198468902,0.584801351753935,0.7665856740691445,0.5823215664839484,mps
7,0.7598925376680574,0.590939643589306,0.7922327941114252,0.5692044324269845,mps
8,0.7394676516955928,0.6059363037509334,0.7350491783835671,0.5975120147287342,mps
9,0.7199994671205602,0.616696847027496,0.7210606840523807,0.6137980586887314,mps
10,0.7098598161328163,0.6223793311146081,0.7126003048636697,0.6170527506431747,mps
11,0.6951817563999487,0.632713862458,0.6784870592030612,0.6394601939091642,mps
12,0.6843329383937301,0.6385995605466086,0.6971015783873471,0.6256937997250901,mps
13,0.6782262295136656,0.6420247866411328,0.6839697561480782,0.6342397752149913,mps
14,0.6665604980771179,0.6498350937884981,0.6747737911614504,0.6417343850777867,mps
15,0.661831939150851,0.6506775474086081,0.6809170018542897,0.6391411110093468,mps
16,0.6531826612550461,0.6580591251097879,0.6648541846058585,0.645719190625816,mps
17,0.6498724703426955,0.658999903200414,0.6821457602761009,0.6367594177468173,mps
18,0.6452693442890153,0.6619783071886679,0.6532842007550326,0.654819670678051,mps
19,0.637063564029649,0.6687856772074466,0.6912473516030745,0.6318125671280395,mps
20,0.6297546148532096,0.6715159166853778,0.6407477834007956,0.6636373999864268,mps
21,0.6290496038671597,0.6710312132732282,0.644121821902015,0.6624594290345013,mps
22,0.6178535181260758,0.6799141456329965,0.636583379723809,0.6645905153505695,mps
23,0.6149868474628211,0.680267306871261,0.6688380533998662,0.6465962216193567,mps
24,0.6122480535785512,0.682923550274218,0.6423070371150971,0.6611285682543985,mps
25,0.6143261772881222,0.6820828122861057,0.629122406244278,0.6727262419489681,mps
26,0.6036174446924187,0.6887896513739518,0.6335127201947299,0.6690204127307587,mps
27,0.5997288749491658,0.6886018335016345,0.6246828743002631,0.6741813154040922,mps
28,0.5932443761176173,0.6949435698611133,0.6256280248815363,0.6732348406128508,mps
29,0.5922423646375827,0.6961894801207916,0.6325313332405957,0.671891486722689,mps
30,0.5872146692489372,0.7008219018286682,0.6348669610240243,0.6681244591799674,mps
31,0.5827060069323514,0.7011150879424191,0.6175106319514188,0.68103242219755,mps
32,0.5809856111089543,0.7037521995410497,0.6156674948605624,0.679580878946274,mps
33,0.5776126630575277,0.7063582433875549,0.6321156794374639,0.6697407249398676,mps
34,0.5737018159623276,0.7081033812291156,0.6255464803088795,0.6773560112106559,mps
35,0.5661209313785983,0.7122801889424142,0.6245516040108421,0.6798202865783535,mps
