case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction
tensor(47),0.7743311740419705,0.6317621511156934,0.7187806561794907,0.9493703006264281,0.8391872401805414,0.14347999854614873,17.998696417064597,0.876340389251709,False
tensor(999),0.8765649319893193,0.7802542015554469,0.8170177873103506,0.9913687518776242,0.9454744525551425,0.13586476598879862,8.652653077921288,0.931975781917572,False
tensor(1156),0.6970812569923786,0.5350151425285365,0.5496359495796592,0.9880375721326145,0.9526350900603033,0.42303621259125945,23.137785408878063,0.8930734395980835,False
tensor(1317),0.9355997353414796,0.8789923926238671,0.8798779223091651,0.9995047413730325,0.9988563355646041,0.11911464043343768,5.74492756539583,0.9536110162734985,False
tensor(944),0.8763552077365193,0.7799219235215158,0.7849011116577307,0.9982125223434729,0.9919318438276239,0.20871467476133437,9.147978816623432,0.9576853513717651,False
tensor(1111),0.8066332096888211,0.6759306662789737,0.6957765565030808,0.9956237306013492,0.959509966777829,0.27486260633686016,13.507909516454387,0.9150115847587585,False
tensor(885),0.9073964691218258,0.8304901489688792,0.9213647874194141,0.9913485147054266,0.893845358160152,0.03078768492561925,3.9089555563146567,0.9539164304733276,False
tensor(1011),0.9376620881761174,0.8826401446659917,0.9453805926789397,0.9820423741253829,0.9300685975613088,0.01646329653294372,4.540723608915407,0.9501240253448486,False
tensor(800),0.911879818146227,0.8380322627536838,0.8485762637050359,0.9980745194743798,0.9853896103897353,0.1388418806552951,5.6837608558250565,0.9395148754119873,False
tensor(1261),0.7644775257474912,0.6187483770469034,0.6400902594979848,0.9923377134877817,0.9488690665821211,0.32541771879694076,12.09737738026725,0.9248442053794861,False
tensor(1089),0.8077418247363491,0.6774890216694802,0.7313869747688426,0.9518636947867459,0.901897521083881,0.18905756178387373,16.841562276191013,0.913379430770874,False
tensor(200),0.9142346544701355,0.8420186352735535,0.8853916104432813,0.9742936612502207,0.9450201947464072,0.06309768260468437,10.51872730091481,0.9409948587417603,False
tensor(197),0.8759334968659691,0.7792541583833023,0.965221047573491,0.9536687190969847,0.8017662907903315,0.20386833253121173,8.795070711122477,0.9134722352027893,False
tensor(1061),0.9160137588385437,0.8450418686659759,0.9403629230020563,0.9875277913345398,0.8928937319559198,0.05316331535014062,4.275264204800834,0.936000645160675,False
tensor(367),0.6311024895043291,0.4610297591185154,0.97502497502747,0.9889939742995602,0.46653919696622664,1.0899100898012077,7.4598806331910605,0.9189614057540894,False
tensor(980),0.9023830031595983,0.8221292178963607,0.9809612983776229,0.9937598290253702,0.835459861780025,0.1741573033653509,9.361522982668443,0.9432836771011353,False
tensor(1067),0.7952941176510726,0.6601562500110627,0.9970501474927704,0.989657852260736,0.6614481409112379,0.5073746312434919,16.30164029205155,0.9095717072486877,False
tensor(1388),0.8703877855846082,0.7705190989248725,0.9606789595804045,0.9785481525512111,0.7956108414260152,0.20747343997792803,5.702265270351562,0.9212002754211426,False
tensor(1057),0.8771533800648856,0.781187175962531,0.9118191922945311,0.9856420262345995,0.8450268971060428,0.07904162035224106,8.812452906871851,0.9369255304336548,False
tensor(1394),0.8546249755215444,0.7461529693406342,0.7696649030009445,0.9971457479099024,0.9606692104496526,0.19882422104410552,8.588322226145502,0.8866552114486694,False
tensor(1042),0.9498370459968759,0.9044663424628585,0.940702781845197,0.9931100785130667,0.9591504376741593,0.01923332889645126,3.4394414010848116,0.9490644335746765,False
tensor(1265),0.8799218640996793,0.7855897154826569,0.9158824212854892,0.9664851031860089,0.8466784812853946,0.08173579644427945,5.266672630244006,0.901710033416748,False
tensor(778),0.872689879745572,0.7741346982223983,0.7982442389099742,0.992841958613078,0.9624495967744301,0.17061190364126763,7.862182659847207,0.9378248453140259,False
