case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction
tensor(47),0.6253029223106725,0.4548659719009962,0.49806971727320276,0.9650891031259858,0.8398430021076025,0.40694901782441834,15.421664939043762,0.7812838554382324,False
tensor(999),0.7485294117662468,0.5981198589933595,0.6025451316996887,0.9986461849491892,0.9878699660361011,0.39005622964989584,11.961072961016104,0.8898841738700867,False
tensor(1156),0.6863536666782595,0.5224797948046146,0.5408004808919461,0.9846400280868395,0.9391092553937099,0.4241346490987119,18.576714771923733,0.8473634123802185,False
tensor(1317),0.9126096463671234,0.8392659023676069,0.8406649379522103,0.9991807009558508,0.9980209993953163,0.15766808668198892,5.88040159540548,0.9207237958908081,False
tensor(944),0.8930107526885829,0.8067022826628273,0.8109785868744439,0.9985155960077374,0.9935059386482653,0.1837204436061678,8.467658346972454,0.9137728810310364,False
tensor(1111),0.8422723364867253,0.727521992462841,0.7479445619010107,0.9958086352635899,0.9638262448923289,0.22398402630697692,7.360011909808669,0.9050357341766357,False
tensor(885),0.9525065963065505,0.9093198992460895,0.9762845849807305,0.9941708244825468,0.9298593223711143,0.04992718951425157,1.6100124406416716,0.9369552135467529,False
tensor(1011),0.9399290590795227,0.8866661869476385,0.9303835699189793,0.987512430199672,0.9496724470138753,0.020311084264419275,3.177131724735572,0.9051195383071899,False
tensor(800),0.8729437367991234,0.7745343025922928,0.7855085819630744,0.9978366018819843,0.9822817631808948,0.20032254348346593,5.691584686916267,0.8992460370063782,False
tensor(1261),0.791296879474228,0.654666035057203,0.6965140697211549,0.9858104454513512,0.9159394675807363,0.23956320873381298,10.226911991249423,0.8501801490783691,False
tensor(1089),0.8170919717439032,0.6907485216320777,0.7188259109323124,0.9754138505241076,0.9464790234023857,0.2405263157884999,10.644985592720165,0.8494299650192261,False
tensor(200),0.9250416182072814,0.8605371462520237,0.9311785501127994,0.9591360987316669,0.918985047576262,0.013268444974917274,5.782923511724464,0.9226458668708801,False
tensor(197),0.8557156894863425,0.7478173751270373,0.9802082356253615,0.939626423690315,0.7592821332575799,0.29096707625653345,8.22554969782254,0.9000126719474792,False
tensor(1061),0.9137782870243929,0.8412447257404899,0.9810856527759328,0.9816882082903093,0.8551132555977066,0.14731662309476679,3.8962459743260673,0.90348219871521,False
tensor(367),0.5933456562110284,0.4218134034545457,1.0,0.9864394242919431,0.4218134034545457,1.3707165106899195,6.878880828469644,0.8801625370979309,False
tensor(980),0.770656078658146,0.6268840356928058,0.9995095635115493,0.9809124840543948,0.6270769230883977,0.5939185875137852,7.828818155167724,0.8819814920425415,False
tensor(1067),0.7672286305895525,0.6223608445478714,1.0,0.9877488752938437,0.6223608445478714,0.6067848881567629,6.252434767691142,0.8771817684173584,False
tensor(1388),0.8631544068931151,0.7592538618513661,0.9910595396615739,0.9733738117752893,0.7644900953812988,0.2963667490908053,9.05069262553955,0.8998616337776184,False
tensor(1057),0.8287374537788827,0.7075590835340508,0.7575816109762877,0.9939362812505278,0.9146455223900503,0.17172107397775313,5.63380507670806,0.8585720062255859,False
tensor(1394),0.6870631373932958,0.5233024960809338,0.5504957767251102,0.9952903977367361,0.9137458092071398,0.39753947850904264,10.071438799401593,0.8100826144218445,False
tensor(1042),0.9497299543002196,0.9042721518996809,0.9504209541632843,0.991218814271678,0.9490399584852202,0.001455150192272579,2.7014025630730147,0.8850808143615723,False
tensor(1265),0.8738474795352269,0.7759583747817281,0.9199020319310603,0.9624853243323259,0.8321844739879191,0.10540638606580727,5.112693297209415,0.8674018979072571,False
tensor(778),0.878671663907092,0.7835989117778189,0.8235438281200593,0.9882915845764363,0.9417094815512218,0.12547994444795785,6.563039530990938,0.908756673336029,False
tensor(792),0.9524763923686549,0.909264846567744,0.9899054638680508,0.9791344667697457,0.9177746416109502,0.0785931741701763,2.8917229888477465,0.9282118082046509,False
