case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction,review_reason
tensor(869),1.8382352937797362e-10,1.8382352937797362e-10,1.8382352937797362e-10,1.0,1.0,0.9999999998161765,inf,0.0,True,low_dice;low_confidence;empty_prediction;
tensor(152),0.015250373406058875,0.0076837769406869144,0.012242837321567047,0.9184038324685081,0.020216757002496522,0.394421305056236,41.55400995737857,0.8733246922492981,False,low_dice;
tensor(274),0.04369747900395996,0.022336769772371968,0.08312838174701778,0.9128702580981798,0.02963872327201616,1.8047220854990298,40.3442971227917,0.7459989786148071,False,low_dice;
tensor(1338),0.07303303304416776,0.03790051117020446,0.040238252825410485,0.9919628843931771,0.39480519488379157,0.8980807412190857,36.90411952416141,0.5550262331962585,False,low_dice;
tensor(621),0.098023715450671,0.051537822150808904,0.15917843399753806,0.9748753030560791,0.07081667623810298,1.2477535300067069,25.840518210673146,0.6927754282951355,False,low_dice;
tensor(129),0.1369988126848388,0.07353662124646007,0.08633590423522117,0.9734032260902155,0.3315649867669512,0.73961091284978,19.134645076057645,0.756397008895874,False,low_dice;
tensor(806),0.1718557336685276,0.09400556446257478,0.9678819444472325,0.8336698558650695,0.09429972937166527,9.26388888808473,30.133179819519246,0.8605250120162964,False,low_dice;
tensor(38),0.20881735479909852,0.11658071574373667,0.14111415871426167,0.9595182213489811,0.4013989776862686,0.648444150187757,26.307312859108578,0.8660377860069275,False,low_dice;
tensor(109),0.2299983837108857,0.12994247101118644,0.12994247101118644,1.0,1.0,0.8700575289888135,45.946332168768215,0.8766549229621887,False,low_dice;
tensor(70),0.23597460207342794,0.13377052414016186,0.15175924372572713,0.9495583205691485,0.5301934727471137,0.713766291879433,32.060790542374676,0.7825601696968079,False,low_dice;
tensor(265),0.2886454183337784,0.1686648818627789,0.3059543919065466,0.9365953947369464,0.27319004526257185,0.11993243242990008,25.586403304402474,0.7773081064224243,False,low_dice;
tensor(463),0.29795748229013785,0.1750587774375484,0.2031374332249274,0.9751317435979219,0.5587867417273675,0.6364669773714167,22.361411958167032,0.763536810874939,False,low_dice;
tensor(1406),0.31818181819214875,0.1891891892037984,0.7347795661487209,0.9357168483941914,0.20305550185258064,2.618614415492049,18.299845988715397,0.878298819065094,False,low_dice;
tensor(99),0.3209053372096012,0.1911180735211078,0.6478142751340107,0.6630976008919824,0.2132780420408453,2.0374166460602936,44.42671750903427,0.9290484189987183,False,low_dice;
tensor(1113),0.32149225072937193,0.19153456448453124,0.8772455089912241,0.9254984423677173,0.19680940387578827,3.4573353290825346,31.04946529249128,0.7672760486602783,False,low_dice;
