epoch,train_loss,train_dice,val_loss,val_dice,device
1,1.2630725673926892,0.3733711907834407,1.1004304162093572,0.4702173344332625,mps
2,1.0371950495150661,0.5058358255849561,0.949558253799166,0.5421642511132136,mps
3,0.9171840918156527,0.5498169254921309,0.8760887831449509,0.5475402651404959,mps
4,0.8496818357659864,0.5712585763116005,0.845769037093435,0.5478526860696743,mps
5,0.8044776043226552,0.5835738684540646,0.817093510712896,0.5713943692769111,mps
6,0.7742795579193175,0.5952597682459062,0.7834692959274564,0.5886194294575439,mps
7,0.7469250448914462,0.6072445009633419,0.751193391425269,0.6000306963485856,mps
8,0.7263384676256845,0.6173925213158178,0.7276764937809536,0.6114449561202198,mps
9,0.7006062758985416,0.6306677379258989,0.7375751499618802,0.6003603985286845,mps
10,0.6866285050100134,0.6361688177507148,0.6984162713800158,0.6281135309776876,mps
11,0.6784009649310001,0.6451327752475501,0.6929277032613754,0.6337493810707173,mps
12,0.6717171715211498,0.647371109549257,0.6841212319476264,0.6368731308948884,mps
13,0.6658830268438473,0.6524444318494618,0.6690844669938087,0.6449176234968557,mps
14,0.649328063393748,0.6573280881583379,0.6544337176850864,0.6534154577902838,mps
15,0.6447660202203795,0.6612578116434104,0.6613705626555851,0.6481245235589699,mps
16,0.6281641476838163,0.6705601889570801,0.655215418764523,0.6533613182077757,mps
17,0.6301430641680725,0.671320166337495,0.6470258842621531,0.6572848864044127,mps
18,0.6224935625412668,0.674034370587153,0.6633131333759853,0.6489185161146122,mps
19,0.6205150803854299,0.6750172575900829,0.6391262795243945,0.6630639458301933,mps
20,0.6120210950688798,0.6819641311755412,0.643129016671862,0.6622970766964069,mps
21,0.6091202294179635,0.6842083965636229,0.6218835807272366,0.6754882013534429,mps
22,0.6009576161240422,0.6859098491200267,0.6409544359360423,0.6630153334261892,mps
23,0.5949270383332127,0.6911464119100931,0.6173929465668542,0.6763840428762261,mps
24,0.5928098242874293,0.6923721418163058,0.634966781096799,0.6661921304682838,mps
25,0.5898982115494188,0.6956123193552048,0.6283679019127574,0.6713666749968545,mps
26,0.5859829145808553,0.6995486371337957,0.620789705642632,0.6729634653495669,mps
27,0.5835408018540966,0.6994956863083612,0.6174981445074081,0.6769279164370817,mps
28,0.5773817289245221,0.7052238283152727,0.6199541177068438,0.6767944538281976,mps
29,0.5779067104639009,0.7047767863002617,0.6090871681060109,0.6834247688106128,mps
30,0.5669666797846786,0.7108587889780089,0.6316258194191116,0.6683843436885742,mps
31,0.5667725585458815,0.70910293557346,0.6209327983004707,0.6794300234467906,mps
32,0.562928834626841,0.7118954337433419,0.6113975271582603,0.682500756933891,mps
33,0.5628027020729789,0.7125502029049942,0.5993494082774434,0.6895883107405784,mps
34,0.5569623443045357,0.7165188298428394,0.6104917377233505,0.6829719868283801,mps
35,0.5603907691646915,0.7143862350692393,0.5900676303676197,0.6973943262636155,mps
36,0.5495824959388999,0.7216513982764996,0.6312788618462426,0.6742569666718152,mps
37,0.5610924591851789,0.7154187941450616,0.5948874897190503,0.694160028545973,mps
38,0.5452241144439046,0.7226672680512363,0.5920780301094055,0.6946341947168185,mps
39,0.5375879108905792,0.7303817981397888,0.5896865746804646,0.6962045544198334,mps
40,0.534886067920877,0.7267140829087674,0.5968957628522601,0.6926025614374978,mps
