threshold,dice,iou
0.2,0.6925714835245538,0.5776196134488205
0.25,0.6956541306541637,0.5816742031964115
0.3,0.6971364021147896,0.5838162877239838
0.35,0.6978495157493436,0.5850324113208599
0.4,0.6981839697400543,0.5857280490794181
0.45,0.6980680277893943,0.5858946513639283
0.5,0.6973943262636155,0.5854083426159332
0.55,0.6961221632467256,0.5842661377736471
0.6,0.6944859185126895,0.582755300831754
0.65,0.6921248954770804,0.5804700296014705
0.7,0.6890298861628599,0.5773667134154585
0.75,0.6845718375792361,0.5728372234084789
0.8,0.6774944997625464,0.5654407122521988
